X,CH1,
Second,Volt,
1.1800000e-02,-4.60000e-02,
1.2000000e-02,-3.00000e-02,
1.2200001e-02,9.20000e-02,
1.2400000e-02,1.00000e-01,
1.2600001e-02,1.40000e-01,
1.2800001e-02,1.32000e-01,
1.3000000e-02,4.80000e-02,
1.3200001e-02,3.20000e-02,
1.3400001e-02,-8.80000e-02,
1.3600000e-02,-9.80000e-02,
1.3800001e-02,-1.46000e-01,
1.4000000e-02,-1.46000e-01,
1.4200000e-02,-8.00000e-02,
1.4400001e-02,-7.00000e-02,
1.4600000e-02,5.20000e-02,
1.4800000e-02,6.40000e-02,
1.5000001e-02,1.50000e-01,
1.5200000e-02,1.60000e-01,
1.5400000e-02,1.36000e-01,
1.5600001e-02,1.30000e-01,
1.5800001e-02,1.60000e-02,
1.6000001e-02,0.00000e+00,
1.6200000e-02,-1.20000e-01,
1.6400000e-02,-1.32000e-01,
1.6600000e-02,-1.72000e-01,
1.6799999e-02,-1.68000e-01,
1.7000001e-02,-9.40000e-02,
1.7200001e-02,-8.20000e-02,
1.7400000e-02,5.20000e-02,
1.7600000e-02,6.60000e-02,
1.7800000e-02,1.64000e-01,
1.7999999e-02,1.78000e-01,
1.8200001e-02,1.60000e-01,
1.8400000e-02,1.54000e-01,
1.8600000e-02,6.20000e-02,
1.8800000e-02,5.00000e-02,
1.8999999e-02,-7.60000e-02,
1.9200001e-02,-9.00000e-02,
1.9400001e-02,-1.78000e-01,
1.9600000e-02,-1.88000e-01,
1.9800000e-02,-1.62000e-01,
2.0000000e-02,-1.56000e-01,
2.0199999e-02,-5.40000e-02,
2.0400001e-02,-4.20000e-02,
2.0600000e-02,8.00000e-02,
2.0800000e-02,9.40000e-02,
2.1000000e-02,1.82000e-01,
2.1199999e-02,1.88000e-01,
2.1399999e-02,1.54000e-01,
2.1600001e-02,1.44000e-01,
2.1800000e-02,1.80000e-02,
2.2000000e-02,2.00000e-03,
2.2200000e-02,-1.32000e-01,
2.2399999e-02,-1.42000e-01,
2.2599999e-02,-1.90000e-01,
2.2800000e-02,-1.84000e-01,
2.3000000e-02,-9.80000e-02,
2.3200000e-02,-8.20000e-02,
2.3399999e-02,6.80000e-02,
2.3599999e-02,8.40000e-02,
2.3799999e-02,1.82000e-01,
2.4000000e-02,1.90000e-01,
2.4200000e-02,1.62000e-01,
2.4400000e-02,1.50000e-01,
2.4599999e-02,1.40000e-02,
2.4799999e-02,-4.00000e-03,
2.4999999e-02,-1.46000e-01,
2.5200000e-02,-1.56000e-01,
2.5400000e-02,-1.88000e-01,
2.5599999e-02,-1.74000e-01,
2.5799999e-02,-8.00000e-02,
2.5999999e-02,-6.60000e-02,
2.6199998e-02,7.60000e-02,
2.6400000e-02,9.00000e-02,
2.6600000e-02,1.74000e-01,
2.6799999e-02,1.78000e-01,
2.6999999e-02,1.34000e-01,
2.7199998e-02,1.24000e-01,
2.7399998e-02,-1.20000e-02,
2.7600000e-02,-3.00000e-02,
2.7799999e-02,-1.42000e-01,
2.7999999e-02,-1.50000e-01,
2.8199999e-02,-1.72000e-01,
2.8399998e-02,-1.54000e-01,
2.8600000e-02,-5.60000e-02,
2.8800000e-02,-4.00000e-02,
2.8999999e-02,9.20000e-02,
2.9199999e-02,1.04000e-01,
2.9399998e-02,1.54000e-01,
2.9600000e-02,1.54000e-01,
2.9800000e-02,9.80000e-02,
2.9999999e-02,8.60000e-02,
3.0199999e-02,-3.80000e-02,
3.0399999e-02,-5.20000e-02,
3.0599998e-02,-1.36000e-01,
3.0800000e-02,-1.44000e-01,
3.0999999e-02,-1.16000e-01,
3.1199999e-02,-1.08000e-01,
3.1399999e-02,-8.00000e-03,
3.1599998e-02,2.00000e-03,
3.1799998e-02,1.04000e-01,
3.1999998e-02,1.12000e-01,
3.2199997e-02,1.32000e-01,
3.2399997e-02,1.24000e-01,
3.2600001e-02,5.60000e-02,
3.2800000e-02,4.60000e-02,
3.3000000e-02,-5.60000e-02,
3.3199999e-02,-6.60000e-02,
3.3399999e-02,-1.14000e-01,
3.3599999e-02,-1.16000e-01,
3.3799998e-02,-8.00000e-02,
3.3999998e-02,-7.20000e-02,
3.4199998e-02,1.40000e-02,
3.4399997e-02,2.60000e-02,
3.4599997e-02,9.60000e-02,
3.4799997e-02,1.06000e-01,
3.5000000e-02,9.40000e-02,
3.5200000e-02,8.80000e-02,
3.5399999e-02,1.20000e-02,
3.5599999e-02,2.00000e-03,
3.5799999e-02,-7.20000e-02,
3.5999998e-02,-8.00000e-02,
3.6199998e-02,-9.20000e-02,
3.6399998e-02,-8.00000e-02,
3.6599997e-02,-1.80000e-02,
3.6799997e-02,-1.20000e-02,
3.7000000e-02,6.00000e-02,
3.7200000e-02,6.60000e-02,
3.7400000e-02,8.00000e-02,
3.7599999e-02,7.40000e-02,
3.7799999e-02,1.60000e-02,
3.7999999e-02,6.00000e-03,
3.8199998e-02,-5.60000e-02,
3.8399998e-02,-6.20000e-02,
3.8599998e-02,-7.20000e-02,
3.8799997e-02,-6.40000e-02,
3.8999997e-02,-8.00000e-03,
3.9200000e-02,-2.00000e-03,
3.9400000e-02,5.20000e-02,
3.9600000e-02,6.00000e-02,
3.9799999e-02,5.20000e-02,
3.9999999e-02,4.80000e-02,
4.0199999e-02,-8.00000e-03,
4.0399998e-02,-1.20000e-02,
4.0599998e-02,-5.20000e-02,
4.0799998e-02,-5.40000e-02,
4.0999997e-02,-3.80000e-02,
4.1199997e-02,-3.40000e-02,
4.1399997e-02,1.20000e-02,
4.1600000e-02,1.80000e-02,
4.1800000e-02,4.80000e-02,
4.1999999e-02,5.00000e-02,
4.2199999e-02,3.20000e-02,
4.2399999e-02,2.60000e-02,
4.2599998e-02,-1.20000e-02,
4.2799998e-02,-1.60000e-02,
4.2999998e-02,-3.80000e-02,
4.3199997e-02,-4.00000e-02,
4.3399997e-02,-2.40000e-02,
4.3599997e-02,-2.20000e-02,
4.3799996e-02,1.20000e-02,
4.4000000e-02,1.60000e-02,
4.4199999e-02,3.60000e-02,
4.4399999e-02,3.80000e-02,
4.4599999e-02,3.00000e-02,
4.4799998e-02,2.80000e-02,
4.4999998e-02,-2.00000e-03,
4.5199998e-02,-4.00000e-03,
4.5399997e-02,-2.80000e-02,
4.5599997e-02,-2.80000e-02,
4.5799997e-02,-3.20000e-02,
4.5999996e-02,-2.80000e-02,
4.6200000e-02,-6.00000e-03,
4.6399999e-02,-4.00000e-03,
4.6599999e-02,1.80000e-02,
4.6799999e-02,2.20000e-02,
4.6999998e-02,2.80000e-02,
4.7199998e-02,2.80000e-02,
4.7399998e-02,1.40000e-02,
4.7599997e-02,1.00000e-02,
4.7799997e-02,-1.00000e-02,
4.7999997e-02,-1.20000e-02,
4.8199996e-02,-2.40000e-02,
4.8399996e-02,-2.60000e-02,
4.8599999e-02,-2.40000e-02,
4.8799999e-02,-2.20000e-02,
4.8999999e-02,-8.00000e-03,
4.9199998e-02,-4.00000e-03,
4.9399998e-02,1.20000e-02,
4.9599998e-02,1.40000e-02,
4.9799997e-02,2.20000e-02,
4.9999997e-02,1.80000e-02,
5.0199997e-02,1.40000e-02,
5.0399996e-02,1.40000e-02,
5.0599996e-02,-2.00000e-03,
5.0799996e-02,-2.00000e-03,
5.0999999e-02,-1.60000e-02,
5.1199999e-02,-1.60000e-02,
5.1399995e-02,-2.00000e-02,
5.1599998e-02,-1.80000e-02,
5.1799998e-02,-1.00000e-02,
5.1999997e-02,-1.00000e-02,
5.2199997e-02,6.00000e-03,
5.2399997e-02,6.00000e-03,
5.2599996e-02,1.80000e-02,
5.2799996e-02,1.60000e-02,
5.2999996e-02,2.20000e-02,
5.3199995e-02,1.80000e-02,
5.3399995e-02,6.00000e-03,
5.3599995e-02,6.00000e-03,
5.3799998e-02,-8.00000e-03,
5.3999998e-02,-8.00000e-03,
5.4199997e-02,-1.40000e-02,
5.4399997e-02,-1.60000e-02,
5.4599997e-02,-1.00000e-02,
5.4799996e-02,-8.00000e-03,
5.4999996e-02,2.00000e-03,
5.5199996e-02,2.00000e-03,
5.5399995e-02,1.00000e-02,
5.5599995e-02,1.20000e-02,
5.5799995e-02,1.40000e-02,
5.5999994e-02,1.00000e-02,
5.6199998e-02,2.00000e-03,
5.6399997e-02,0.00000e+00,
5.6599997e-02,-1.00000e-02,
5.6799997e-02,-1.00000e-02,
5.6999996e-02,-1.40000e-02,
5.7199996e-02,-1.40000e-02,
5.7399996e-02,-8.00000e-03,
5.7599995e-02,-6.00000e-03,
5.7799995e-02,2.00000e-03,
5.7999995e-02,2.00000e-03,
5.8199994e-02,8.00000e-03,
5.8399998e-02,8.00000e-03,
5.8599997e-02,2.00000e-03,
5.8799997e-02,2.00000e-03,
5.8999997e-02,-6.00000e-03,
5.9199996e-02,-6.00000e-03,
5.9399996e-02,-1.20000e-02,
5.9599996e-02,-1.20000e-02,
5.9799995e-02,-8.00000e-03,
5.9999995e-02,-4.00000e-03,
6.0199995e-02,2.00000e-03,
6.0399994e-02,2.00000e-03,
6.0599994e-02,8.00000e-03,
6.0799997e-02,8.00000e-03,
6.0999997e-02,2.00000e-03,
6.1199997e-02,2.00000e-03,
6.1399996e-02,-6.00000e-03,
6.1599996e-02,-6.00000e-03,
6.1799996e-02,-6.00000e-03,
6.1999995e-02,-6.00000e-03,
6.2199995e-02,-2.00000e-03,
6.2399995e-02,-2.00000e-03,
6.2599994e-02,2.00000e-03,
6.2799998e-02,2.00000e-03,
6.2999994e-02,6.00000e-03,
6.3199997e-02,6.00000e-03,
6.3400000e-02,4.00000e-03,
6.3599996e-02,4.00000e-03,
6.3800000e-02,-2.00000e-03,
6.3999996e-02,-2.00000e-03,
6.4199999e-02,-6.00000e-03,
6.4399995e-02,-4.00000e-03,
6.4599998e-02,-8.00000e-03,
6.4799994e-02,-4.00000e-03,
6.4999998e-02,2.00000e-03,
6.5199994e-02,2.00000e-03,
6.5399997e-02,4.00000e-03,
